Kelas,Hari,Jam,WaktuMulai,WaktuSelesai,Kind,MataPelajaran,Guru,Ruang
X DKV 1,Kamis,5-6,10:00,11:20,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 15
X DKV 1,Kamis,7-8,11:20,13:40,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 15
X DKV 1,Kamis,9-10,13:40,15:00,CLASS,Pendidikan Pancasila,"Wiwik Yuniarsih, S.Pd",R 15
X DKV 1,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X DKV 1,Jumat,2-3-4,07:30,09:00,CLASS,Dasar DKV,"Agus Pramono, S.Sn",R 15
X DKV 1,Jumat,5-6,09:00,10:20,CLASS,Matematika,"Rulik Indrawati, S.Pd",R 15
X DKV 1,Jumat,7-8-9,10:20,13:30,CLASS,IPAS,"Khuriyatul Kamila, S.Si",R 15
X DKV 1,Jumat,10-11,13:30,14:30,CLASS,Informatika,"Elysa Yuli Nur'aini, S.Si",Lab. DKV Komputer
X DKV 1,Jumat,12-13,14:30,15:30,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 15
X DKV 2,Senin,1,07:00,07:40,UPACARA,Upacara/Apel,,
X DKV 2,Senin,2-3,07:40,09:00,CLASS,Koding dan Kecerdasan Artifisial,"Endik Kuswantoro, S.Kom.,M.T",Lab. DKV Komputer
X DKV 2,Senin,4-5,09:00,10:40,CLASS,Sejarah,"Yustin Febrini, S.Pd",R 16
X DKV 2,Senin,6-7-8,10:40,13:40,CLASS,Dasar DKV,"Agus Pramono, S.Sn",R 16
X DKV 2,Senin,9-10,13:40,15:00,CLASS,Pendidikan Pancasila,"Wiwik Yuniarsih, S.Pd",R 16
X DKV 2,Selasa,1-2-3,07:00,09:00,CLASS,IPAS,"Fitri Amaliyah, S.Pd",R 16
X DKV 2,Selasa,4-5,09:00,10:40,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 16
X DKV 2,Selasa,6-7,10:40,12:00,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 16
X DKV 2,Selasa,8-9-10,13:00,15:00,CLASS,Pendidikan Agama Islam dan Budi Pekerti,Dra. Hanik Pangestuti,R 16
X DKV 2,Rabu,1-2,07:00,08:20,CLASS,Informatika,"Elysa Yuli Nur'aini, S.Si",Lab. DKV Komputer
X DKV 2,Rabu,3,08:20,09:00,CLASS,BK,"Yuni Jiastuti, S.Pd",R 16
X DKV 2,Rabu,4-5-6,09:00,11:20,CLASS,Dasar DKV,"Agus Pramono, S.Sn",R 16
X DKV 2,Rabu,7-8,11:20,13:40,CLASS,Matematika,"Ajeng Okvitasari, S.Pd",R 16
X DKV 2,Rabu,9-10,13:40,15:00,CLASS,Bahasa Indonesia,"Erna Rinawati, S.Pd",R 16
X DKV 2,Kamis,1-2,07:00,08:20,CLASS,Bahasa Inggris,"Fajar Wahyu Pratiwi, S.S",R 16
X DKV 2,Kamis,3-4-5,08:20,10:40,CLASS,PJOK,"Ilham Sungeidi, S.Pd",Lapangan
X DKV 2,Kamis,6-7,10:40,12:00,CLASS,Informatika,"Elysa Yuli Nur'aini, S.Si",Lab. DKV Komputer
X DKV 2,Kamis,8-9-10,13:00,15:00,CLASS,Dasar DKV,"Danang Anjar Hymawanto, S.Pd",R 16
X DKV 2,Jumat,1,07:00,07:30,PEMBIASAAN,Pembiasaan Hari Jumat,,
X DKV 2,Jumat,2-3,07:30,08:30,CLASS,Seni Budaya,"Anang Prasetyo, S.Pd",R 16
